epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.6283191442489624,0.6393269896507263,0.6512585282325745,0.6187451481819153
1,0.6444014310836792,0.6240170001983643,0.655532717704773,0.6128239035606384
2,0.6492586731910706,0.6182507872581482,0.6615086197853088,0.6063656806945801
3,0.6532482504844666,0.6146300435066223,0.6591934561729431,0.6111119985580444
4,0.6556732654571533,0.6117527484893799,0.6615284085273743,0.611688494682312
5,0.6573597192764282,0.6101401448249817,0.6578478813171387,0.6106991767883301
6,0.6589086651802063,0.608264684677124,0.6669898629188538,0.6029316782951355
7,0.6599847078323364,0.6070325970649719,0.6674054265022278,0.6031556129455566
8,0.6610763669013977,0.6061776876449585,0.6650902032852173,0.604412853717804
9,0.6620649099349976,0.6049754619598389,0.6639029383659363,0.605171263217926
10,0.6630774140357971,0.6037504076957703,0.6623397469520569,0.6058758497238159
11,0.6640399098396301,0.603242039680481,0.6672075390815735,0.6032617092132568
12,0.6648815870285034,0.6022664904594421,0.6651099920272827,0.6046367883682251
13,0.6651826500892639,0.6017424464225769,0.6693248152732849,0.602555513381958
14,0.6657649278640747,0.6009340286254883,0.6663171052932739,0.6043331623077393
15,0.6668930649757385,0.5997461676597595,0.665861964225769,0.603636622428894
16,0.6671586632728577,0.599348783493042,0.6669898629188538,0.602175235748291
17,0.6681857705116272,0.5983874797821045,0.6680386066436768,0.6031635999679565
18,0.6682732701301575,0.5982173681259155,0.6693841814994812,0.6016597747802734
19,0.6692118048667908,0.5968358516693115,0.6664160490036011,0.6042124629020691
20,0.6696670055389404,0.5969430804252625,0.6674252152442932,0.6045390963554382
21,0.6697211861610413,0.5964528918266296,0.6684739589691162,0.6022465229034424
22,0.6708419919013977,0.5955338478088379,0.6691269874572754,0.6023983359336853
23,0.6715961761474609,0.5951988291740417,0.668923510551453,0.6025415946960449
24,0.6718451380729675,0.5941655039787292,0.6686718463897705,0.6039901971817017
25,0.671267032623291,0.5942203402519226,0.6679396629333496,0.6039031744003296
26,0.6722440719604492,0.5934901237487793,0.6686322689056396,0.6027087569236755
27,0.6729211807250977,0.5927414894104004,0.6714025735855103,0.6020022630691528
28,0.6734315752983093,0.5924022197723389,0.669285237789154,0.6020233631134033
29,0.673566997051239,0.5919180512428284,0.6682562828063965,0.6032080054283142
