epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.6285983324050903,0.6386746168136597,0.628067135810852,0.6360186338424683
1,0.6458024382591248,0.6231105327606201,0.6524655818939209,0.6182495355606079
2,0.6494394242763519,0.6187281608581543,0.6580754518508911,0.6120373606681824
3,0.6530764102935791,0.6143457889556885,0.6636853218078613,0.6058251857757568
4,0.6553680896759033,0.6122480630874634,0.6628344058990479,0.6066228747367859
5,0.657650351524353,0.6107316613197327,0.6680188179016113,0.6022679209709167
6,0.6580753326416016,0.6095590591430664,0.6684937477111816,0.6054418683052063
7,0.6587566137313843,0.6083574295043945,0.6678407192230225,0.6002364754676819
8,0.6601524353027344,0.6075266599655151,0.6737968921661377,0.5970054864883423
9,0.6610555648803711,0.606530487537384,0.6723523736000061,0.5975370407104492
10,0.6615076661109924,0.6059107780456543,0.6703736186027527,0.5991973280906677
11,0.6617951393127441,0.6053411960601807,0.667820930480957,0.6000446081161499
12,0.6626357436180115,0.6048529744148254,0.6698789000511169,0.5991202592849731
13,0.6628857851028442,0.6042816042900085,0.6734209060668945,0.597259521484375
14,0.6634628772735596,0.6036339998245239,0.6718972325325012,0.597574770450592
15,0.6639211773872375,0.6029567122459412,0.6745686531066895,0.5954733490943909
16,0.6637763977050781,0.6028928160667419,0.6752414107322693,0.5959858298301697
17,0.6643576323986053,0.602488100528717,0.6751424670219421,0.5958294570446014
18,0.6649388670921326,0.6020833849906921,0.675043523311615,0.5956730842590332
19,0.6649753451347351,0.6018623113632202,0.6743905544281006,0.5951989889144897
20,0.6651784777641296,0.6014829874038696,0.6747466921806335,0.5949156284332275
21,0.6656087040901184,0.6012108325958252,0.6751424670219421,0.5943050980567932
22,0.6663764119148254,0.6006699204444885,0.6749247908592224,0.5946152806282043
23,0.6664795279502869,0.6008114218711853,0.673856258392334,0.5959433913230896
24,0.6666982769966125,0.6003706455230713,0.673994779586792,0.5952163338661194
25,0.666745126247406,0.6001499891281128,0.6753007769584656,0.593224823474884
26,0.6672972440719604,0.5999181270599365,0.6733417510986328,0.5957327485084534
27,0.6675472259521484,0.5995813012123108,0.6742916107177734,0.5948663353919983
28,0.6677045226097107,0.5990841388702393,0.6754392981529236,0.5940853357315063
29,0.6676889061927795,0.5988538265228271,0.67595374584198,0.592903733253479
30,0.6683076620101929,0.5987836122512817,0.6737968921661377,0.594352126121521
31,0.6683123409748077,0.5985020399093628,0.6717290580272675,0.5953130125999451
32,0.6683170199394226,0.5982204675674438,0.6696612238883972,0.5962738990783691
33,0.6687378287315369,0.5982744693756104,0.6761516332626343,0.5930367708206177
34,0.6693076491355896,0.5982214212417603,0.6743311882019043,0.5933241248130798
35,0.6696649193763733,0.5975098609924316,0.6766067743301392,0.593320906162262
36,0.6693524122238159,0.5976083874702454,0.6752809882164001,0.5921024084091187
37,0.6692586541175842,0.5975433588027954,0.6758548617362976,0.593758225440979
38,0.670289933681488,0.5971167087554932,0.6772993803024292,0.5919278264045715
39,0.6694347262382507,0.5973321199417114,0.674627959728241,0.5925558805465698
40,0.6700305342674255,0.5969752073287964,0.6776159405708313,0.5925701856613159
41,0.6704555749893188,0.59621661901474,0.6773586869239807,0.5910612344741821
42,0.6702545285224915,0.5966667532920837,0.6769036054611206,0.5909676551818848
43,0.6711180806159973,0.5962796807289124,0.6799905300140381,0.5902662873268127
44,0.6707128286361694,0.5962664484977722,0.67664635181427,0.5943946242332458
45,0.6712909936904907,0.595742404460907,0.6770223379135132,0.5909558534622192
46,0.6714118123054504,0.5956431329250336,0.6760230362415314,0.5923352539539337
47,0.6715326309204102,0.5955438613891602,0.6750237345695496,0.5937146544456482
48,0.6716461777687073,0.5953434705734253,0.673717737197876,0.5944197177886963
49,0.6719461679458618,0.5952601432800293,0.6738166809082031,0.5939203500747681
